Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,509.82,297,12,180,509.82,297,12,180
1,0.078339326,508.82,297,13.52996175,180,486.29,297,48,180
2,0.148294136,507.82,297,15.0599235,180,440,306,72,180
3,0.211485672,506.82,297,16.58988525,180,400,306,24,200
4,0.269106398,505.82,297,18.119847,180,387,295,18,200
5,0.322058959,504.82,297,19.64980875,180,,,,
6,0.371043055,503.82,297,21.17977051,180,,,,
7,0.416612037,502.82,297,22.70973226,180,,,,
8,0.459211067,501.82,297,24.23969401,180,,,,
9,0.499203589,500.82,297,25.76965576,180,,,,
10,0.53689018,499.82,297,27.29961751,180,,,,
11,0.572522259,498.82,297,28.82957926,180,,,,
12,0.606312253,497.82,297,30.35954101,180,,,,
13,0.63844126,496.82,297,31.88950276,180,,,,
14,0.669064926,495.82,297,33.41946451,180,,,,
15,0.698317997,494.82,297,34.94942626,180,,,,
16,0.726317902,493.82,297,36.47938802,180,,,,
17,0.753167599,492.82,297,38.00934977,180,,,,
18,0.778957857,491.82,297,39.53931152,180,,,,
19,0.80376911,490.82,297,41.06927327,180,,,,
20,0.827672966,489.82,297,42.59923502,180,,,,
21,0.850733455,488.82,297,44.12919677,180,,,,
22,0.873008058,487.82,297,45.65915852,180,,,,
22.84076553,0.891118583,486.9794001,297.01669,47.18912027,180,,,,
23.68153106,0.908783743,486.1401253,297.0667335,48,180,,,,
24.52229659,0.926207321,485.3034983,297.1500519,48.50894035,180,,,,
25.52612719,0.946793055,484.3267626,297.3817053,49.0178807,180,,,,
26.52612719,0.967088413,483.3451439,297.5725579,49.52682105,180,,,,
27.52612719,0.987176281,482.3635252,297.7634105,50.0357614,180,,,,
28.52612719,1.007060858,481.3819065,297.9542632,50.54470175,180,,,,
29.52612719,1.026746219,480.4002878,298.1451158,51.0536421,180,,,,
30.52612719,1.046236314,479.4186691,298.3359684,51.56258245,180,,,,
31.52612719,1.06553498,478.4370504,298.5268211,52.0715228,180,,,,
32.52612719,1.084645941,477.4554317,298.7176737,52.58046315,180,,,,
33.52612719,1.103572812,476.473813,298.9085263,53.0894035,180,,,,
34.52612719,1.122319108,475.4921943,299.0993789,53.59834385,180,,,,
35.52612719,1.140888239,474.5105756,299.2902316,54.1072842,180,,,,
36.52612719,1.159283525,473.5289569,299.4810842,54.61622455,180,,,,
37.52612719,1.177508189,472.5473382,299.6719368,55.1251649,180,,,,
38.52612719,1.195565369,471.5657195,299.8627895,55.63410525,180,,,,
39.52612719,1.213458113,470.5841008,300.0536421,56.1430456,180,,,,
40.52612719,1.231189391,469.6024821,300.2444947,56.65198595,180,,,,
41.52612719,1.248762089,468.6208634,300.4353474,57.1609263,180,,,,
42.52612719,1.26617902,467.6392447,300.6262,57.66986665,180,,,,
43.52612719,1.283442921,466.657626,300.8170526,58.178807,180,,,,
44.52612719,1.300556457,465.6760073,301.0079053,58.68774735,180,,,,
45.52612719,1.317522225,464.6943886,301.1987579,59.1966877,180,,,,
46.52612719,1.334342756,463.7127699,301.3896105,59.70562805,180,,,,
47.52612719,1.351020513,462.7311512,301.5804632,60.21456841,180,,,,
48.52612719,1.367557902,461.7495325,301.7713158,60.72350876,180,,,,
49.52612719,1.383957265,460.7679138,301.9621684,61.23244911,180,,,,
50.52612719,1.400220887,459.7862951,302.153021,61.74138946,180,,,,
51.52612719,1.416350996,458.8046764,302.3438737,62.25032981,180,,,,
52.52612719,1.432349768,457.8230577,302.5347263,62.75927016,180,,,,
53.52612719,1.448219322,456.841439,302.7255789,63.26821051,180,,,,
54.52612719,1.463961731,455.8598203,302.9164316,63.77715086,180,,,,
55.52612719,1.479579015,454.8782016,303.1072842,64.28609121,180,,,,
56.52612719,1.495073147,453.8965829,303.2981368,64.79503156,180,,,,
57.52612719,1.510446055,452.9149642,303.4889895,65.30397191,180,,,,
58.52612719,1.525699621,451.9333455,303.6798421,65.81291226,180,,,,
59.52612719,1.540835683,450.9517268,303.8706947,66.32185261,180,,,,
60.52612719,1.555856038,449.9701081,304.0615474,66.83079296,180,,,,
61.52612719,1.570762441,448.9884894,304.2524,67.33973331,180,,,,
62.52612719,1.585556609,448.0068707,304.4432526,67.84867366,180,,,,
63.52612719,1.600240219,447.025252,304.6341053,68.35761401,180,,,,
64.52612719,1.614814911,446.0436333,304.8249579,68.86655436,180,,,,
65.52612719,1.629282289,445.0620146,305.0158105,69.37549471,180,,,,
66.52612719,1.643643922,444.0803959,305.2066631,69.88443506,180,,,,
67.52612719,1.657901345,443.0987772,305.3975158,70.39337541,180,,,,
68.38272394,1.670026226,442.2560403,305.5509842,70.90231576,180,,,,
69.23932068,1.682064386,441.4098906,305.6843582,71.41125611,180,,,,
70.09591743,1.694017055,440.5608071,305.7975623,71.92019646,180,,,,
70.95251418,1.705920829,439.7092705,305.8905324,72,180,,,,
71.80911093,1.717917983,438.8557629,305.9632158,70.8,180.5,,,,
72.66570768,1.730120216,438.0007677,306.0155714,69.6,181,,,,
73.66659651,1.744625851,437,306,68.4,181.5,,,,
74.66659651,1.759375113,436,306,67.2,182,,,,
75.66659651,1.774390128,435,306,66,182.5,,,,
76.66659651,1.789680648,434,306,64.8,183,,,,
77.66659651,1.805256972,433,306,63.6,183.5,,,,
78.66659651,1.821129988,432,306,62.4,184,,,,
79.66659651,1.837311218,431,306,61.2,184.5,,,,
80.66659651,1.853812868,430,306,60,185,,,,
81.66659651,1.870647885,429,306,58.8,185.5,,,,
82.66659651,1.887830016,428,306,57.6,186,,,,
83.66659651,1.905373875,427,306,56.4,186.5,,,,
84.66659651,1.923295022,426,306,55.2,187,,,,
85.66659651,1.94161004,425,306,54,187.5,,,,
86.66659651,1.960336632,424,306,52.8,188,,,,
87.66659651,1.97949372,423,306,51.6,188.5,,,,
88.66659651,1.999101563,422,306,50.4,189,,,,
89.66659651,2.019181885,421,306,49.2,189.5,,,,
90.66659651,2.039758016,420,306,48,190,,,,
91.66659651,2.060855063,419,306,46.8,190.5,,,,
92.66659651,2.082500084,418,306,45.6,191,,,,
93.66659651,2.104722307,417,306,44.4,191.5,,,,
94.66659651,2.127553357,416,306,43.2,192,,,,
95.66659651,2.151027535,415,306,42,192.5,,,,
96.66659651,2.175182125,414,306,40.8,193,,,,
97.66659651,2.200057747,413,306,39.6,193.5,,,,
98.66659651,2.225698772,412,306,38.4,194,,,,
99.66659651,2.252153799,411,306,37.2,194.5,,,,
100.6665965,2.279476203,410,306,36,195,,,,
101.6665965,2.307724791,409,306,34.8,195.5,,,,
102.6665965,2.336964557,408,306,33.6,196,,,,
103.6665965,2.367267587,407,306,32.4,196.5,,,,
104.6665965,2.398714128,406,306,31.2,197,,,,
105.6665965,2.431393866,405,306,30,197.5,,,,
106.6216894,2.463880019,404.0453708,305.9702409,28.8,198,,,,
107.5767823,2.497748562,403.0944489,305.8810792,27.6,198.5,,,,
108.5318752,2.533122373,402.1509268,305.7328611,26.4,199,,,,
109.4869681,2.570141477,401.2184688,305.5261622,25.2,199.5,,,,
110.442061,2.608966392,400.3006958,305.2617852,24,200,,,,
111.3971539,2.649056198,399.4011719,304.9407568,23.64766787,200,,,,
112.3522468,2.689747795,398.5233903,304.5643236,23.29533574,200,,,,
113.3073397,2.731059525,397.6707598,304.1339474,22.9430036,200,,,,
114.3270134,2.775847201,396.9464549,303.416231,22.59067147,200,,,,
115.3270134,2.820461168,396.1830686,302.7702888,22.23833934,200,,,,
116.3270134,2.865787618,395.4196823,302.1243466,21.88600721,200,,,,
117.3270134,2.911849678,394.656296,301.4784043,21.53367508,200,,,,
118.3270134,2.958671617,393.8929097,300.8324621,21.18134295,200,,,,
119.3270134,3.006278929,393.1295234,300.1865198,20.82901081,200,,,,
120.3270134,3.054698409,392.3661371,299.5405776,20.47667868,200,,,,
121.3270134,3.103958249,391.6027509,298.8946353,20.12434655,200,,,,
122.3270134,3.154088134,390.8393646,298.2486931,19.77201442,200,,,,
123.3270134,3.205119352,390.0759783,297.6027509,19.41968229,200,,,,
124.3270134,3.257084906,389.312592,296.9568086,19.06735016,200,,,,
125.3270134,3.310019651,388.5492057,296.3108664,18.71501802,200,,,,
126.3270134,3.363960424,387.7858194,295.6649241,18.36268589,200,,,,
127.3270134,3.418946205,387.0224331,295.0189819,18.01035376,200,,,,
127.3563998,3.420578311,387,295,18,200,,,,
